float3(-4.169569E-09f, 3.477819E-11f, 4.152945E-12f),
float3(5.001373E-05f, 2.75254E-05f, 1.185374E-05f),
float3(6.360498E-05f, 5.149386E-05f, -8.377019E-07f),
float3(0.0001275389f, 5.674877E-05f, 1.137462E-05f),
float3(9.157195E-05f, 4.603127E-08f, 1.989823E-05f),
float3(0.009562097f, 0.001183013f, 0.0005800286f),
float3(8.980591f, 0.09487104f, -2.122478E-06f),
float3(12.31367f, 0.002044862f, 0.0003874207f),
float3(8.974606f, 0.001096102f, 0.01653764f),
float3(8.782182f, 0.1788372f, 0.08801796f),
float3(10.8053f, 0.3579296f, 0.009069243f),
float3(30.74295f, -0.7286595f, -0.0385659f),
float3(-51.14554f, 0.09126979f, 0.08151676f),
float3(10477.69f, 6.40707f, 0.4385957f),
float3(-39.58529f, 2.903341f, 0.3082829f),
float3(-52.2975f, 1.63778f, -0.5799612f),
float3(-38.51841f, 5.00326f, -0.6569222f),
float3(11.01953f, 14.44691f, 8.721212f),
float3(11.02044f, 19.52746f, 8.724021f),
float3(8.699828f, 9.658703f, 11.04489f),
float3(8.700208f, 8.102475f, 11.05559f),
float3(0.8827609f, 6.568895f, 11.02312f),
float3(-14.13864f, 5.791857f, 0.001840144f),
